Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_15x7.5RM7.6,135.447,-85.708,0.0,bottom
D1,white bright,LED_0603_1608Metric,151.384,-79.121,-165.0,top
D2,white bright,LED_0603_1608Metric,159.258,-79.121,-15.0,top
D3,white dim,LED_0603_1608Metric,148.717,-80.899,-140.0,top
D4,white dim,LED_0603_1608Metric,161.925,-80.899,-40.0,top
D5,orange dim,LED_0603_1608Metric,145.923,-91.186,-160.0,top
D6,orange dim,LED_0603_1608Metric,164.719,-91.186,-20.0,top
D7,blue bright,LED_0603_1608Metric,155.321,-100.33,-90.0,top
D8,red bright,LED_0603_1608Metric,161.671,-116.713,30.0,top
D9,red bright,LED_0603_1608Metric,148.971,-116.713,150.0,top
R1,220,R_0402_1005Metric,154.305,-76.075,-90.0,top
R2,220,R_0402_1005Metric,155.575,-76.075,-90.0,top
R3,680,R_0402_1005Metric,151.765,-76.075,-90.0,top
R4,680,R_0402_1005Metric,153.035,-76.075,-90.0,top
R5,220,R_0402_1005Metric,147.32,-76.075,-90.0,top
R6,220,R_0402_1005Metric,149.86,-76.075,-90.0,top
R7,680,R_0402_1005Metric,131.826,-76.073,-90.0,top
R8,220,R_0402_1005Metric,145.415,-76.075,-90.0,top
R9,220,R_0402_1005Metric,144.145,-76.075,-90.0,top
R10,10k,R_0402_1005Metric,140.716,-76.073,90.0,top
R11,10k,R_0402_1005Metric,156.97,-120.015,0.0,top
R12,10k,R_0402_1005Metric,149.35,-120.015,0.0,top
R13,10k,R_0402_1005Metric,162.05,-120.015,0.0,top
R14,10k,R_0402_1005Metric,151.89,-120.015,0.0,top
R15,10k,R_0402_1005Metric,154.43,-120.015,0.0,top
R16,10k,R_0402_1005Metric,159.51,-120.015,0.0,top
SW_accel1,SW_SPST,SW_SPST_TS-1187A,126.44,-100.186,0.0,top
SW_decel1,SW_SPST,SW_SPST_TS-1187A,126.44,-110.545,0.0,top
SW_dipped_b1,SW_SPST,SW_SPST_TS-1187A,136.6,-110.545,0.0,top
SW_high_b1,SW_SPST,SW_SPST_TS-1187A,136.6,-100.186,0.0,top
SW_left1,SW_SPST,SW_SPST_TS-1187A,126.44,-81.644,0.0,top
SW_right1,SW_SPST,SW_SPST_TS-1187A,136.6,-81.644,0.0,top
SW_stop1,SW_SPST,SW_SPST_TS-1187A,131.52,-89.772,0.0,top
